名称,图片,系列,出荷时间,游览人数,定价,比例,评分,参考价格,现价
MG 机动战士高达 逆袭的夏亚 MSN-04 沙扎比 Ver.Ka,https://r.hpoi.net/gk/cover/n/2019/01/f6b292f9f8384040b587695d4edd95e3.jpg?date=1688199376,MG,2018,15949,9720,1/100,4.82,583.2,770.74
MG 机动战士高达 逆袭的夏亚 RX-93 ν高达 Ver.Ka,https://r.hpoi.net/gk/cover/n/2019/01/37f102da6f01467c90ff502e5584487f.jpg?date=1588064486,MG,2018,15296,7000,1/100,4.72,420,589.58
PG 机动战士高达SEED DESTINY  强袭自由高达,https://r.hpoi.net/gk/cover/n/2020/05/90536bd763294a06bc2fe7a3a3662d99.jpg?date=1589791470,PG,2019,14390,25000,1/60,4.64,1500,1869.25
MG 机动战士高达SEED 1/100 ZGMF-X10A 自由高达 Ver.2.0,https://r.hpoi.net/gk/cover/n/2020/12/96e10a807fb7413cafc023f0aa694cbe.jpg?date=1607593509,MG,2016,14220,4500,1/100,4.54,270,302.28
RG 1/144 机动战士高达SEED DESTINY ZGMF-X20A 强袭自由高达,https://r.hpoi.net/gk/cover/n/2020/12/e675ab18748d4437bffe136131aa0735.jpg?date=1607594804,RG,2015,12745,3000,1/144,4.21,180,178
Figure-riseLABO 高达创战者TRY 星野文奈,https://r.hpoi.net/gk/cover/n/2019/08/dccfda5bdaa043cd8ae7432fb217b2d4.jpeg?date=1607586844,FRL,2018,12607,5500,1/100,4.06,330,448.26
GUNDAM FIX FIGURATION METAL COMPOSITE 独角兽高达3号机菲尼克斯 『高达UC』,https://r.hpoi.net/gk/cover/n/2019/03/1832276abedc449c8cbd7f84fe14018f.jpg?date=1552014716,FIX,2016,11230,23760,1/100,4.79,1425.6,1899.85
RG 机动战士高达 逆袭的夏亚 沙扎比,https://r.hpoi.net/gk/cover/n/2023/02/667112d4dda6492a8b4d07e355067d2a.jpg?date=1677029286,RG,2019,10449,4500,1/144,4.81,270,440.77
HGUC 机动战士高达0083 星尘的回忆  GP03 石斛兰,https://r.hpoi.net/gk/cover/n/2023/06/9a5bda0e8067408992e79ecda958f737.jpg?date=1687311901,HG,2023,10393,30800,1/144,4.68,1848,2509.15
RG#19 机动战士高达SEED ASTRAY MBF-P02 红色异端高达,https://r.hpoi.net/gk/cover/n/2016/03/d8b96eb773af4278b6742e31c86bc2d2.jpg?date=1619683587,RG,2015,10234,2500,1/100,4.05,150,210.64
MG 机动战士高达SEED DESTINY ASTRAY R  异端高达红色机 红龙形态,https://r.hpoi.net/gk/cover/n/2018/12/fd84090ab3794c09ae123923c20bfc7c.jpeg?date=1694482055,MG,2023,10089,7700,1/100,4.48,462,492.38
MG 机动战士高达：逆袭的夏亚-贝托蒂嘉的子嗣 高达 Ver.Ka,https://r.hpoi.net/gk/cover/n/2016/06/22fbaf1c52b849c08d5f8cccbe62cd25.jpg?date=1607915780,MG,2014,9147,7000,1/100,4.47,420,430.91
MG 机动战士高达 雷霆宙域战线  全装甲型高达 Ka版,https://r.hpoi.net/gk/cover/n/2021/04/af820347585e4a3ebf57bae70753fab9.jpg?date=1677468946,MG,2016,9104,7560,1/100,4.49,453.6,332.61
GUNDAM FIX FIGURATION METAL COMPOSITE 机动战士高达UC 独角兽高达（毁灭模式） 觉醒样式,https://r.hpoi.net/gk/cover/n/2015/07/86ba362579734c318ef10a18d5657952.jpg?date=1608793133,FIX,2014,8879,21600,1/100,4.39,1296,883.44
HGGTO 1/144 机动战士高达 THE ORIGIN  RX-78-01[N] 局地型高达,https://r.hpoi.net/gk/cover/n/2016/07/d2dcdd225033401a9d022e1f8c18df24.jpg?date=1590398521,HG,2016,8786,2000,1/100,4.33,120,173.48
PG 1/60 机动战士高达00 -0000+GNR-010 00强化模组GN-0000 00高达,https://r.hpoi.net/gk/cover/n/2015/07/67ad03cf6827418f980cb274c9a9c617.jpg?date=1589788939,PG,2015,8100,25000,1/60,4.58,1500,2437.15
RG  机动战士高达SEED ASTRAY 天空的皇女 异端高达金色机天 哈娜,https://r.hpoi.net/gk/cover/n/2022/01/e4e51431f8fd468cb2beca8a34ecd1eb.png?date=1643169323,RG,2022,8005,3300,1/144,4.05,198,245.83
MG 机动战士高达 SEED Destiny ZGMF-X19A 无限正义高达,https://r.hpoi.net/gk/cover/n/2015/08/0d0d250f96024a38bdf4a12e3324b0af.jpg?date=1625543972,MG,2008,7597,5000,1/100,4.47,300,257.09
MG 机动战士高达00  能天使高达,https://r.hpoi.net/gk/cover/n/2023/03/a527006aa50b4b2a8326f3aba578225d.jpg?date=1678177665,MG,2018,7558,4104,1/100,4.22,246.24,274.75
HG 1/144 机动战士高达SEED C.E. 73 观星者 GAT-X103AP 翠绿暴风高达,https://r.hpoi.net/gk/cover/n/2015/08/995225d4f0854c12a2909f1524036463.jpg?date=1590134150,MG,2015,7361,1680,1/144,4.25,100.8,148.94
HGCE 机动战士高达SEED Destiny ZGMF-X42S 命运高达,https://r.hpoi.net/gk/cover/n/2021/04/9c365f1d000d49d7bf488cba84df1791.jpg?date=1619684196,HG,2019,7300,2200,1/100,4.69,132,185.73
MG 1/100 机动战士高达SEED DESTINY ASTRAY BMBF-P03D 异端高达蓝色机D型,https://r.hpoi.net/gk/cover/n/2015/07/7ed5d71d57eb435e9f18c3b3184e377b.jpg?date=1587461617,MG,2014,7126,6000,1/100,4.42,360,445.2
NXEDGE STYLE [MS UNIT] 机动战士高达SEED ASTRAY 红异端,https://r.hpoi.net/gk/cover/n/2021/03/3e8e9f52d7734ce7a62a3d7e9fc1c422.jpg?date=1615518131,其他,2015,6911,2500,1/100,4.43,150,123.94
超时空要塞7 1/144 VF-19改,https://r.hpoi.net/gk/cover/n/2015/08/b5937b66ee89410e8b0d6878377a682b.jpg?date=1439499208,其他,2013,6870,972,1/144,4,58.32,63.97
机动战舰抚子号 1/48  艾斯特巴利斯,https://r.hpoi.net/gk/cover/n/2015/08/eb7af921ebb04636bff68ef2b090890d.jpg?date=1439497591,其他,2013,6793,0,1/48,4.5,212,313
PG 机动战士高达00 GN-001能天使高达,https://r.hpoi.net/gk/cover/n/2019/08/3f9df4442cd84ff6b75d99683f958725.jpg?date=1589791167,PG,2017,6756,18000,1/100,4.74,1080,1395.65
